Version,Model,source,country,group,DateoA,WoAi,YoAi,WoDi,YoDi,wk2,zscore,DOTz,Spring,Automn,FLAG,k,ARL0,h
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,4,2009,2009-04,0.7733663,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,5,2009,2009-05,-0.4687962,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,6,2009,2009-06,-1.327905,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,7,2009,2009-07,-1.98369,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,8,2009,2009-08,-1.326735,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,9,2009,2009-09,1.008276,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,10,2009,2009-10,0.5446092,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,11,2009,2009-11,-0.1996288,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,12,2009,2009-12,1.236292,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,13,2009,2009-13,0.5476399,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,14,2009,2009-14,1.013843,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,15,2009,2009-15,0.5496569,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,16,2009,2009-16,-0.7349313,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,17,2009,2009-17,1.017165,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,18,2009,2009-18,-1.020087,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,19,2009,2009-19,1.019372,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,20,2009,2009-20,1.24553,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,21,2009,2009-21,0.5556902,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,22,2009,2009-22,0.06607797,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,23,2009,2009-23,-1.317662,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,24,2009,2009-24,-1.635362,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,25,2009,2009-25,0.0687859,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,26,2009,2009-26,-0.7275438,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,27,2009,2009-27,0.5616966,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,28,2009,2009-28,0.7987419,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,29,2009,2009-29,0.07239711,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,30,2009,2009-30,0.07329999,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,31,2009,2009-31,-1.011166,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,32,2009,2009-32,0.8029072,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,33,2009,2009-33,1.260283,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,34,2009,2009-34,-0.4457768,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,35,2009,2009-35,0.8060185,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,36,2009,2009-36,0.5706532,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,37,2009,2009-37,-1.627824,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,38,2009,2009-38,-0.1766421,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,39,2009,2009-39,0.3309477,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,40,2009,2009-40,0.331894,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,41,2009,2009-41,-0.1740677,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,42,2009,2009-42,-0.1732088,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,43,2009,2009-43,-1.304742,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,44,2009,2009-44,-1.001935,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,45,2009,2009-45,0.579543,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,46,2009,2009-46,-1.000489,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,47,2009,2009-47,-0.1689082,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,48,2009,2009-48,0.3394487,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,49,2009,2009-49,0.340391,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,50,2009,2009-50,-0.9975735,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,51,2009,2009-51,-1.299316,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,52,2009,2009-52,-0.1645982,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,53,2009,2009-53,-0.7069257,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,1,2010,2010-01,-1.617244,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,0.25,20,1.449226
